Date;snow
12.06.2002 00:00;0
13.06.2002 00:00;-30
14.06.2002 00:00;-20
15.06.2002 00:00;-20
16.06.2002 00:00;-20
17.06.2002 00:00;-20
18.06.2002 00:00;-30
19.06.2002 00:00;-30
20.06.2002 00:00;-20
21.06.2002 00:00;-20
22.06.2002 00:00;-20
23.06.2002 00:00;-20
24.06.2002 00:00;-30
25.06.2002 00:00;-30
26.06.2002 00:00;-20
27.06.2002 00:00;-30
28.06.2002 00:00;-50
29.06.2002 00:00;0
30.06.2002 00:00;0
01.07.2002 00:00;0
02.07.2002 00:00;0
03.07.2002 00:00;0
04.07.2002 00:00;0
05.07.2002 00:00;0
06.07.2002 00:00;0
07.07.2002 00:00;0
08.07.2002 00:00;0
09.07.2002 00:00;0
10.07.2002 00:00;0
11.07.2002 00:00;0
12.07.2002 00:00;0
13.07.2002 00:00;0
14.07.2002 00:00;0
15.07.2002 00:00;0
16.07.2002 00:00;0
17.07.2002 00:00;0
18.07.2002 00:00;0
19.07.2002 00:00;0
20.07.2002 00:00;0
21.07.2002 00:00;0
22.07.2002 00:00;0
23.07.2002 00:00;0
24.07.2002 00:00;0
25.07.2002 00:00;0
26.07.2002 00:00;0
27.07.2002 00:00;0
28.07.2002 00:00;0
29.07.2002 00:00;0
30.07.2002 00:00;0
31.07.2002 00:00;0
01.08.2002 00:00;0
02.08.2002 00:00;0
03.08.2002 00:00;0
04.08.2002 00:00;0
05.08.2002 00:00;0
06.08.2002 00:00;0
07.08.2002 00:00;0
08.08.2002 00:00;0
09.08.2002 00:00;0
10.08.2002 00:00;60
11.08.2002 00:00;40
12.08.2002 00:00;-20
13.08.2002 00:00;-40
14.08.2002 00:00;-30
15.08.2002 00:00;-10
16.08.2002 00:00;0
17.08.2002 00:00;0
18.08.2002 00:00;0
19.08.2002 00:00;0
20.08.2002 00:00;-10
21.08.2002 00:00;0
22.08.2002 00:00;0
23.08.2002 00:00;10
24.08.2002 00:00;0
25.08.2002 00:00;0
26.08.2002 00:00;0
27.08.2002 00:00;0
28.08.2002 00:00;0
29.08.2002 00:00;0
30.08.2002 00:00;0
31.08.2002 00:00;0
01.09.2002 00:00;0
02.09.2002 00:00;0
03.09.2002 00:00;0
04.09.2002 00:00;0
05.09.2002 00:00;0
06.09.2002 00:00;0
07.09.2002 00:00;0
08.09.2002 00:00;0
09.09.2002 00:00;0
10.09.2002 00:00;0
11.09.2002 00:00;0
12.09.2002 00:00;0
13.09.2002 00:00;0
14.09.2002 00:00;0
15.09.2002 00:00;0
16.09.2002 00:00;0
17.09.2002 00:00;0
